75,6,モンテッソーリ教育,montessori,園こだわり条件がモンテッソーリ教育です,ek_,8,0
76,6,病後児保育,sick_child_care,園こだわり条件が病後児保育です,ek_,9,0
77,6,グローバル,global,園こだわり条件がグローバルです,ek_,10,0
78,6,家庭的保育,homey,園こだわり条件が家庭的保育です,ek_,11,0
79,6,産休育休復帰実績有,rejoin,園こだわり条件が産休育休復帰実績有です,ek_,12,0
80,6,有給消化率高,vacation,園こだわり条件が有給消化率高です,ek_,13,0
81,7,労災保険,accident,社会保険が労災保険です,in_,1,0
82,7,雇用保険,unemployment,社会保険が雇用保険です,in_,2,0
83,7,厚生年金,pension,社会保険が厚生年金です,in_,3,0
84,7,健康保険,health_insurance,社会保険が健康保険です,in_,4,0
85,8,オススメ求人,recommend,オススメフラグをつけた求人です,,1,0
